AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
eu-west-3a,m5d.16xlarge,Windows,7.168000,2020-07-31T11:24:57+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.743100,2020-07-31T11:00:02+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.713100,2020-07-31T11:00:02+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.613100,2020-07-31T11:00:02+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.646100,2020-07-31T10:31:32+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.616100,2020-07-31T10:31:32+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.516100,2020-07-31T10:31:32+00:00
eu-west-3a,m5d.24xlarge,Windows,10.384600,2020-07-31T10:31:32+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,1.087100,2020-07-31T09:28:07+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,1.057100,2020-07-31T09:28:07+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.957100,2020-07-31T09:28:07+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.261200,2020-07-31T08:04:41+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.231200,2020-07-31T08:04:41+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.131200,2020-07-31T08:04:41+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252800,2020-07-31T08:02:50+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222800,2020-07-31T08:02:50+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122800,2020-07-31T08:02:50+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.374000,2020-07-31T07:39:00+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.344000,2020-07-31T07:39:00+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.244000,2020-07-31T07:39:00+00:00
eu-west-3a,m5d.8xlarge,Windows,2.456300,2020-07-31T07:31:08+00:00
eu-west-3a,m5d.24xlarge,Windows,10.384600,2020-07-31T06:15:42+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.646100,2020-07-31T06:07:26+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.616100,2020-07-31T06:07:26+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.516100,2020-07-31T06:07:26+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.088300,2020-07-31T05:50:26+00:00
eu-west-3a,t3.large,SUSE Linux,0.091300,2020-07-31T05:50:26+00:00
eu-west-3a,t3.large,Linux/UNIX,0.028300,2020-07-31T05:50:26+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-07-31T05:50:10+00:00
eu-west-3a,m5d.16xlarge,Windows,7.146100,2020-07-31T05:17:24+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,4.354000,2020-07-31T03:03:53+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,4.324000,2020-07-31T03:03:53+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,4.224000,2020-07-31T03:03:53+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,1.051300,2020-07-31T02:13:46+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,1.021300,2020-07-31T02:13:46+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.921300,2020-07-31T02:13:46+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.373900,2020-07-31T02:00:20+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.343900,2020-07-31T02:00:20+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.243900,2020-07-31T02:00:20+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.261600,2020-07-31T01:48:38+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.231600,2020-07-31T01:48:38+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.131600,2020-07-31T01:48:38+00:00
eu-west-3a,m5d.24xlarge,Windows,10.211400,2020-07-31T00:16:40+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.645000,2020-07-31T00:00:31+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.615000,2020-07-31T00:00:31+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.515000,2020-07-31T00:00:31+00:00
eu-west-3a,m5d.8xlarge,Windows,2.423600,2020-07-31T00:00:10+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-07-30T23:53:03+00:00
eu-west-3a,m5d.16xlarge,Windows,7.039000,2020-07-30T23:43:22+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-07-30T23:32:32+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-07-30T22:41:45+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.102500,2020-07-30T22:41:36+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.105500,2020-07-30T22:41:36+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.042500,2020-07-30T22:41:36+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-07-30T22:41:20+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-07-30T22:41:20+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-07-30T22:41:20+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.220800,2020-07-30T22:41:11+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.190800,2020-07-30T22:41:11+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.090800,2020-07-30T22:41:11+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-07-30T22:40:54+00:00
eu-west-3a,t3a.medium,Windows,0.060900,2020-07-30T22:40:44+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-07-30T22:35:01+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-07-30T22:35:01+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-07-30T22:35:01+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-07-30T22:34:33+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-07-30T22:34:31+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-07-30T22:34:31+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-07-30T22:34:31+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-07-30T22:34:27+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.261800,2020-07-30T20:56:09+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.231800,2020-07-30T20:56:09+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.131800,2020-07-30T20:56:09+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-07-30T20:33:51+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.120600,2020-07-30T20:33:24+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.160600,2020-07-30T20:33:24+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.060600,2020-07-30T20:33:24+00:00
eu-west-3a,m5d.8xlarge,Windows,2.391800,2020-07-30T20:31:31+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,1.026600,2020-07-30T20:31:31+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.996600,2020-07-30T20:31:31+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.896600,2020-07-30T20:31:31+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,1.026600,2020-07-30T20:05:42+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.996600,2020-07-30T20:05:42+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.896600,2020-07-30T20:05:42+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,4.240300,2020-07-30T19:49:34+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,4.210300,2020-07-30T19:49:34+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,4.110300,2020-07-30T19:49:34+00:00
eu-west-3a,m5d.24xlarge,Windows,10.054300,2020-07-30T18:17:41+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.386600,2020-07-30T17:44:11+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.356600,2020-07-30T17:44:11+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.256600,2020-07-30T17:44:11+00:00
eu-west-3a,m5d.16xlarge,Windows,6.976100,2020-07-30T16:54:20+00:00
eu-west-3a,m5d.8xlarge,Windows,2.391800,2020-07-30T16:53:34+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.081200,2020-07-30T15:32:29+00:00
eu-west-3a,t3a.small,SUSE Linux,0.052200,2020-07-30T15:32:29+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.021200,2020-07-30T15:32:29+00:00
eu-west-3a,t3a.small,Windows,0.039600,2020-07-30T15:32:27+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,4.136700,2020-07-30T14:57:17+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,4.106700,2020-07-30T14:57:17+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,4.006700,2020-07-30T14:57:17+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-07-30T14:41:25+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-07-30T14:32:33+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-07-30T14:32:33+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-07-30T14:32:33+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.262000,2020-07-30T13:58:50+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.232000,2020-07-30T13:58:50+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.132000,2020-07-30T13:58:50+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-07-30T13:51:12+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,1.001400,2020-07-30T13:50:38+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.971400,2020-07-30T13:50:38+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.871400,2020-07-30T13:50:38+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-07-30T13:50:06+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-07-30T13:49:16+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-07-30T13:49:16+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-07-30T13:49:16+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.232800,2020-07-30T12:51:56+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.202800,2020-07-30T12:51:56+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.102800,2020-07-30T12:51:56+00:00
eu-west-3a,m5d.16xlarge,Windows,6.890600,2020-07-30T11:54:03+00:00
eu-west-3a,m5d.8xlarge,Windows,2.366800,2020-07-30T11:11:19+00:00
eu-west-3a,m5d.24xlarge,Windows,9.842000,2020-07-30T10:55:33+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252800,2020-07-30T08:02:06+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222800,2020-07-30T08:02:06+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122800,2020-07-30T08:02:06+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252900,2020-07-30T07:56:54+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222900,2020-07-30T07:56:54+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122900,2020-07-30T07:56:54+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,5.144600,2020-07-30T07:28:40+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,5.114600,2020-07-30T07:28:40+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,5.014600,2020-07-30T07:28:40+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.262400,2020-07-30T07:28:19+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.232400,2020-07-30T07:28:19+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.132400,2020-07-30T07:28:19+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.967500,2020-07-30T06:46:53+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.937500,2020-07-30T06:46:53+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.837500,2020-07-30T06:46:53+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.088300,2020-07-30T05:50:01+00:00
eu-west-3a,t3.large,SUSE Linux,0.091300,2020-07-30T05:50:01+00:00
eu-west-3a,t3.large,Linux/UNIX,0.028300,2020-07-30T05:50:01+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-07-30T05:49:36+00:00
eu-west-3a,m5d.16xlarge,Windows,6.764100,2020-07-30T05:32:01+00:00
eu-west-3a,m5d.24xlarge,Windows,9.684500,2020-07-30T04:08:35+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,4.025100,2020-07-30T03:51:24+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.995100,2020-07-30T03:51:24+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.895100,2020-07-30T03:51:24+00:00
eu-west-3a,m5d.8xlarge,Windows,2.340200,2020-07-30T03:35:04+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.373900,2020-07-30T01:59:20+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.343900,2020-07-30T01:59:20+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.243900,2020-07-30T01:59:20+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.262900,2020-07-30T00:14:14+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.232900,2020-07-30T00:14:14+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.132900,2020-07-30T00:14:14+00:00
eu-west-3a,m5d.16xlarge,Windows,6.666700,2020-07-29T23:57:59+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,4.993100,2020-07-29T23:57:56+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,4.963100,2020-07-29T23:57:56+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,4.863100,2020-07-29T23:57:56+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-07-29T23:52:58+00:00
eu-west-3a,m5d.24xlarge,Windows,9.541700,2020-07-29T23:32:59+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-07-29T23:32:29+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.945100,2020-07-29T23:16:04+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.915100,2020-07-29T23:16:04+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.815100,2020-07-29T23:16:04+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,3.915000,2020-07-29T23:07:22+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.885000,2020-07-29T23:07:22+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.785000,2020-07-29T23:07:22+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-07-29T22:40:50+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-07-29T22:40:48+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.102500,2020-07-29T22:40:41+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.105500,2020-07-29T22:40:41+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.042500,2020-07-29T22:40:41+00:00
eu-west-3a,t3a.medium,Windows,0.060900,2020-07-29T22:40:35+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-07-29T22:40:32+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-07-29T22:40:32+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-07-29T22:40:32+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-07-29T22:40:30+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.220800,2020-07-29T22:40:30+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.190800,2020-07-29T22:40:30+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.090800,2020-07-29T22:40:30+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-07-29T22:34:05+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-07-29T22:34:05+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-07-29T22:34:05+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-07-29T22:34:05+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-07-29T22:33:43+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-07-29T22:33:43+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-07-29T22:33:43+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-07-29T22:33:43+00:00
eu-west-3a,m5d.8xlarge,Windows,2.308200,2020-07-29T21:27:29+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-07-29T20:32:56+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.120600,2020-07-29T20:32:39+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.160600,2020-07-29T20:32:39+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.060600,2020-07-29T20:32:39+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-07-29T19:32:26+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-07-29T19:32:26+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-07-29T19:32:26+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-07-29T19:32:26+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,4.989700,2020-07-29T18:48:51+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,4.959700,2020-07-29T18:48:51+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,4.859700,2020-07-29T18:48:51+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.263200,2020-07-29T18:31:52+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.233200,2020-07-29T18:31:52+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.133200,2020-07-29T18:31:52+00:00
eu-west-3a,m5d.24xlarge,Windows,9.518100,2020-07-29T18:07:19+00:00
eu-west-3a,m5d.16xlarge,Windows,6.609500,2020-07-29T18:06:39+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,3.772400,2020-07-29T17:17:37+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.742400,2020-07-29T17:17:37+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.642400,2020-07-29T17:17:37+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.922200,2020-07-29T17:00:21+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.892200,2020-07-29T17:00:21+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.792200,2020-07-29T17:00:21+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.081200,2020-07-29T15:32:25+00:00
eu-west-3a,t3a.small,SUSE Linux,0.052200,2020-07-29T15:32:25+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.021200,2020-07-29T15:32:25+00:00
eu-west-3a,t3a.small,Windows,0.039600,2020-07-29T15:32:25+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-07-29T14:32:25+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-07-29T14:32:25+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-07-29T14:32:25+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-07-29T14:32:25+00:00
eu-west-3a,m5d.8xlarge,Windows,2.285500,2020-07-29T14:22:13+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,4.768900,2020-07-29T14:12:59+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,4.738900,2020-07-29T14:12:59+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,4.638900,2020-07-29T14:12:59+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-07-29T13:50:35+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-07-29T13:49:18+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-07-29T13:48:30+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-07-29T13:48:30+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-07-29T13:48:30+00:00
eu-west-3a,m5d.24xlarge,Windows,9.348800,2020-07-29T12:41:17+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.263600,2020-07-29T12:24:07+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.233600,2020-07-29T12:24:07+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.133600,2020-07-29T12:24:07+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.919200,2020-07-29T12:00:13+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.889200,2020-07-29T12:00:13+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.789200,2020-07-29T12:00:13+00:00
eu-west-3a,m5d.16xlarge,Windows,6.516400,2020-07-29T11:26:37+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,3.671000,2020-07-29T10:36:26+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.641000,2020-07-29T10:36:26+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.541000,2020-07-29T10:36:26+00:00
eu-west-3a,m5d.8xlarge,Windows,2.261300,2020-07-29T08:05:42+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.252900,2020-07-29T07:56:53+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.222900,2020-07-29T07:56:53+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.122900,2020-07-29T07:56:53+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.263900,2020-07-29T07:23:29+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.233900,2020-07-29T07:23:29+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.133900,2020-07-29T07:23:29+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,4.579700,2020-07-29T06:59:14+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,4.549700,2020-07-29T06:59:14+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,4.449700,2020-07-29T06:59:14+00:00
eu-west-3a,m5d.16xlarge,Windows,6.416800,2020-07-29T06:17:37+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.899000,2020-07-29T06:08:32+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.869000,2020-07-29T06:08:32+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.769000,2020-07-29T06:08:32+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.088300,2020-07-29T05:49:22+00:00
eu-west-3a,t3.large,SUSE Linux,0.091300,2020-07-29T05:49:22+00:00
eu-west-3a,t3.large,Linux/UNIX,0.028300,2020-07-29T05:49:22+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-07-29T05:49:16+00:00
eu-west-3a,m5d.24xlarge,Windows,9.205600,2020-07-29T05:44:15+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,3.570900,2020-07-29T03:38:24+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.540900,2020-07-29T03:38:24+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.440900,2020-07-29T03:38:24+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-07-29T02:48:47+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-07-29T02:48:47+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-07-29T02:48:47+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-07-29T02:48:26+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,3.441300,2020-07-29T02:32:25+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,3.411300,2020-07-29T02:32:25+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,3.311300,2020-07-29T02:32:25+00:00
eu-west-3a,m5d.16xlarge,Windows,6.328300,2020-07-29T02:32:25+00:00
eu-west-3a,m5d.8xlarge,Windows,2.232200,2020-07-29T02:14:16+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.373900,2020-07-29T01:58:44+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.343900,2020-07-29T01:58:44+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.243900,2020-07-29T01:58:44+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-07-29T01:48:08+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-07-29T01:47:53+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-07-29T01:47:53+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-07-29T01:47:53+00:00
eu-west-3a,m5d.24xlarge,Windows,9.075700,2020-07-29T00:43:25+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.264300,2020-07-29T00:17:57+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.234300,2020-07-29T00:17:57+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.134300,2020-07-29T00:17:57+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,4.551000,2020-07-29T00:17:42+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,4.521000,2020-07-29T00:17:42+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,4.421000,2020-07-29T00:17:42+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.871000,2020-07-29T00:09:16+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.841000,2020-07-29T00:09:16+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.741000,2020-07-29T00:09:16+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.373800,2020-07-28T23:32:24+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.343800,2020-07-28T23:32:24+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.243800,2020-07-28T23:32:24+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-07-28T23:32:24+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.102500,2020-07-28T22:40:27+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.105500,2020-07-28T22:40:27+00:00
